"id","created_at","updated_at","state","linkpay_reference","payment_details"
"998335","2025-10-02 03:18:24.635916 UTC","2025-10-02 03:18:37.866192 UTC","failed","NNrNstfG","{""frequency"":""Monthly"",""start_date"":""2025-10-05"",""end_date"":""2025-12-31"",""payment_state"":""failed""}"
"998726","2025-10-02 21:04:19.226275 UTC","2025-10-02 21:04:33.750742 UTC","failed","3p5TZ4uS","{""frequency"":""Monthly"",""start_date"":""2025-10-05"",""end_date"":""2025-12-31"",""payment_state"":""failed""}"
"998414","2025-10-02 03:23:47.044582 UTC","2025-10-02 03:23:47.648276 UTC","waiting_for_access_token","8oevYtWrZh","{""payment_reference"":""57e65548bbbe3db5c3f87a52acf4a334b49140ac9b752d10dc07b71917841f0f"",""veres_url"":null,""pareq"":null,""checkup_payment"":null,""arrangement"":false,""token_agreement"":null,""provider_3ds_name"":""modirum"",""order_reference"":""7b0a17020b02d29eaff98d1d1dd50121"",""disable_tokenization_filter"":null,""email"":null,""phone_country_code"":null,""phone_number"":null}"
"998496","2025-10-02 03:29:12.167389 UTC","2025-10-02 03:29:12.732546 UTC","waiting_for_payment_selection","kdBOn4Pika","{""payment_reference"":""7e17780ebf531362ed9d00f81d2adddff0a2ac6e9d041cf7e5a9644ab87369bb""}"
"998707","2025-10-02 21:03:10.360075 UTC","2025-10-02 21:03:12.887760 UTC","waiting_for_access_token","6IVfXaCS","{""frequency"":""Monthly"",""start_date"":""2025-10-05"",""end_date"":""2025-12-31""}"
"998752","2025-10-02 21:06:04.599034 UTC","2025-10-02 21:06:33.603134 UTC","completed","HhbIJLy8","{""frequency"":""Monthly"",""start_date"":""2025-10-05"",""end_date"":""2025-12-31"",""payment_state"":""signed""}"
"998442","2025-10-02 03:25:37.034054 UTC","2025-10-02 03:25:46.500408 UTC","completed","aJMdeoxdqG","{""checkup_payment"":null,""payment_reference"":""af55e15e7b3033012320d3a292885ba982cb7404695e5c543fab9ce0d3aa3a49"",""transaction_reference"":""59883f98b0048b2d8a33f63b965975a7d6d699284227dc2d9b35e7f5d4134a4f"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-02T03:25:46Z"",""cc_details"":{""cc_last_four_digits"":""0004"",""cc_year"":""2025"",""cc_month"":""12"",""cc_holder_name"":""Automated Testing"",""cc_token"":""ee4fc096b8bf6c6af009bcb3"",""cc_type"":""master_card""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""726305""}"
"998809","2025-10-02 21:10:24.176452 UTC","2025-10-02 21:10:32.011261 UTC","completed","iaBIHShx3Q","{""checkup_payment"":null,""payment_reference"":""1d178affa6b5c4afe66efedc38b7de6f747956f0acb4202460fbf0471052e10c"",""transaction_reference"":""863c81c97dc9855c06a788dad6a8eb056c44985ef616f52d947f455d93d47d82"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-02T21:10:31Z"",""cc_details"":{""cc_last_four_digits"":""4468"",""cc_year"":""2027"",""cc_month"":""6"",""cc_holder_name"":""Automated Testing"",""cc_type"":""master_card"",""cc_issuer"":""Swedbank AS"",""cc_product"":""DEBIT STANDARD"",""cc_funding_source"":""Debit"",""cc_issuer_country"":""EE""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""946909""}"
"998545","2025-10-02 09:05:29.087345 UTC","2025-10-02 09:05:37.196167 UTC","completed","7i3IwZETg7","{""checkup_payment"":null,""payment_reference"":""d8a8e5f84a10fa75bc7c83a624d51a8ef77105c97decbc6001fd706ce357fb21"",""transaction_reference"":""ecd289a68d502c306a44e359f710541cc7013d9a3cd31ae954e3728e7c5f6bec"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-02T09:05:36Z"",""cc_details"":{""cc_last_four_digits"":""7541"",""cc_year"":""2027"",""cc_month"":""8"",""cc_holder_name"":""Every Pay"",""cc_token"":""08cf82ad8d016deab626b02e"",""cc_type"":""master_card"",""cc_issuer"":""AS LHV Pank"",""cc_product"":""DEBIT STANDARD"",""cc_funding_source"":""Debit"",""cc_issuer_country"":""EE""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""535431""}"
"998525","2025-10-02 09:04:16.597976 UTC","2025-10-02 09:04:22.047965 UTC","waiting_for_sca","x9UPoUAYzD","{""checkup_payment"":null,""payment_reference"":""9007edac3017d5b06e0cc8dfd005208e32121a8127dfbdb215e9d742b80dc4e1"",""transaction_reference"":null,""payment_state"":""waiting_for_sca"",""transaction_result"":null,""transaction_time"":""2025-10-02T09:04:21+00:00"",""cc_details"":null,""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null}"
