"id","merchant_id","acquirer_id","reference","order_reference","created_at","updated_at","state","card_type","details"
"2736565","4830","2","7e5fbdd47f2ddce17e81d361355517bbad0f42d9bd0f47f2e05f7560db8818b0","b5583eaf876540b129d92e5a899ca8cb","2025-10-02 09:11:40.923083 UTC","2025-10-02 09:12:15.140973 UTC","failed","1","{""api_version"":""apiv4"",""disable_tokenization_filter"":null,""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""10.71.67.174"",""init_trans_created_at"":""2025-10-02T09:11:43.343Z"",""masked_cc_number_hash"":""Y4ksyOg1EnMvk0abgrrJL0feJkrYhkCvAyEiWM4czyI=:aws:5deb11d5"",""mcc"":""5399"",""mcc_description"":""Miscellaneous General Merchandise"",""provider_3ds"":""modirum"",""3ds_requested"":true,""3ds_prompted"":true,""3ds_result"":""3DS approved"",""state_3ds"":""3ds"",""eci"":""05"",""xid"":""MTUyNjNkMDdiNGIzYzVlODZiN2Y="",""pares_status"":""Y"",""veres_result"":""Enrolled"",""3ds_liability_shift"":true,""3ds_protocol"":""3DS2.2.0"",""ds_trans_id"":""70b17761-970e-4b5d-be04-cf9d7ce4ab06"",""emv3ds_transaction_status"":""Authentication Verification Successful"",""emv3ds_status_reason"":""undefined"",""emv3ds_server_errorcode"":"""",""emv3ds_server_errordetail"":"""",""provider_errormessage"":""Y-status/Challenge authentication via ACS: https://3ds-acs.staging.modirum.com/mdpayacs/creq;token=61125921.1759396308.OC5hywEim"",""emv3ds_authentication_type"":""Static"",""3ds_challenge_cancelation_indicator"":""undefined"",""response_code"":""911"",""cvc_result"":""P"",""authorisation_code"":""000000"",""issuer_decline"":false}"
"2736611","4831","1","da8a273afbd28da31c6c34e6f0986971230dedbf1a29e1821ad03dcb52a1a3f7","ixm7so/4KdfTnjKET","2025-10-02 09:15:05.842395 UTC","2025-10-02 09:15:05.842395 UTC","initial",,"{""api_version"":""linkpay""}"
"2736617","4830","2","62a904ae52a1e307033ae4c5b49fce43cb5d2ea1cfccd8e2afe43725a879121f","2pge64/Sd3FdmAPX8","2025-10-02 09:15:28.778792 UTC","2025-10-02 09:15:28.778792 UTC","initial",,"{""api_version"":""linkpay""}"
"2736300","4832","3","0dbc625f25b6ece501d42f4a4b5fc9a77b03516fce5444350e1c19413fe778a6","db2ef14487973ca1c0650b4f71dc4040","2025-10-02 03:25:09.280551 UTC","2025-10-02 03:25:22.158884 UTC","settled","1","{""api_version"":""apiv4"",""disable_tokenization_filter"":null,""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""10.71.76.5"",""init_trans_created_at"":""2025-10-02T03:25:12.067Z"",""masked_cc_number_hash"":""Y4ksyOg1EnMvk0abgrrJL0feJkrYhkCvAyEiWM4czyI=:aws:5deb11d5"",""mcc"":""5999"",""mcc_description"":""Miscellaneous Specialty Retail"",""provider_3ds"":""modirum"",""3ds_requested"":true,""3ds_prompted"":true,""3ds_result"":""3DS approved"",""state_3ds"":""3ds"",""eci"":""05"",""xid"":""NmMxZmFhYzQ5ZjkwMDYzYTg5ODI="",""pares_status"":""Y"",""veres_result"":""Enrolled"",""3ds_liability_shift"":true,""3ds_protocol"":""3DS2.2.0"",""ds_trans_id"":""ba80d6c1-10cd-4a22-bec2-d62326ecc36c"",""emv3ds_transaction_status"":""Authentication Verification Successful"",""emv3ds_status_reason"":""undefined"",""emv3ds_server_errorcode"":"""",""emv3ds_server_errordetail"":"""",""provider_errormessage"":""Y-status/Challenge authentication via ACS: https://3ds-acs.staging.modirum.com/mdpayacs/creq;token=61108591.1759375517.pYLfOP1RX"",""emv3ds_authentication_type"":""Static"",""3ds_challenge_cancelation_indicator"":""undefined"",""response_code"":""000"",""cvc_result"":null,""authorisation_code"":""530091"",""issuer_decline"":false}"
"2736858","4830","2","35e061a0faacde6ce42b5ef9de396ac6b3ef7e99305d0ac1813cea9815f35650","d7abe9d1b69ef53f46b9e4b2557e0e11","2025-10-02 21:08:04.394963 UTC","2025-10-02 21:08:04.510584 UTC","initial",,"{""api_version"":""apiv4"",""disable_tokenization_filter"":null}"
"2736604","4832","3","508fb236d8dbd3295eb46946f9c922cc59f1576c8bfc0ce687da189eb1387548","ht5ygt/CnEspyexzS","2025-10-02 09:14:25.708264 UTC","2025-10-02 09:14:36.918734 UTC","settled",,"{""api_version"":""linkpay"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""lhv_ob_mbbl_ee"",""user_ip"":null,""init_trans_created_at"":""2025-10-02T09:14:28.064Z"",""response_code"":""EXECUTED""}"
"2736809","4837","2","3bca8bcd8c6e1ec187ad8911dc37266abc6fd710ba47f825c6e74bba3177c958","lhvXmonitorXstagingX1759439008","2025-10-02 21:03:29.736000 UTC","2025-10-02 21:03:30.159163 UTC","failed","2","{""api_version"":""apiv3"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""state_3ds"":""no3ds"",""monitoring_ok"":false,""response_code"":null,""authorisation_code"":null,""issuer_decline"":false,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":null,""init_trans_created_at"":""2025-10-02T21:03:29.793Z"",""sca_exemption"":""mit"",""masked_cc_number_hash"":""JwqKCnFRLQIO79iZpTo79tA1RtPSloHfRhlyv4dXIJg=:aws:5deb11d5"",""mcc"":""5399"",""mcc_description"":""Miscellaneous General Merchandise""}"
"2736387","4837","2","d9bd1ebaa8078f6dee0d7d897d69fe2517050ccdc32affb7ae89af0debd0206d","lhvXmonitorXstagingX1759388008","2025-10-02 06:53:29.838956 UTC","2025-10-02 06:53:30.290728 UTC","failed","2","{""api_version"":""apiv3"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""state_3ds"":""no3ds"",""monitoring_ok"":false,""response_code"":null,""authorisation_code"":null,""issuer_decline"":false,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":null,""init_trans_created_at"":""2025-10-02T06:53:29.897Z"",""sca_exemption"":""mit"",""masked_cc_number_hash"":""JwqKCnFRLQIO79iZpTo79tA1RtPSloHfRhlyv4dXIJg=:aws:5deb11d5"",""mcc"":""5399"",""mcc_description"":""Miscellaneous General Merchandise""}"
"2736332","4831","1","ec93a322e91ef44b710b5823aca00f1b4631b2614d09497e3dc8edbead44bccd","d03ca35d6bd1c4c84a8d5cb5dff500dd","2025-10-02 03:27:04.352584 UTC","2025-10-02 03:27:25.339536 UTC","settled",,"{""api_version"":""apiv4"",""disable_tokenization_filter"":null,""shopper_ip_country"":null,""method_source"":""swed_ob_lt"",""user_ip"":null,""init_trans_created_at"":""2025-10-02T03:27:08.811Z"",""response_code"":""ACSC""}"
"2736936","4830","2","912198f760e5d8be4bd0fa72fbcd5fd47d4db5d92f43272910a95c18e11857e9","2e370b7b2013aff382a777c616af0ade","2025-10-02 21:12:52.421823 UTC","2025-10-02 21:13:05.131411 UTC","voided","2",
