"id","merchant_id","acquirer_id","reference","order_reference","created_at","updated_at","state","card_type","details"
"2737099","4832","3","342504981db02e9f08d1222e396a04d46efe4027827c3ed65b6cf61c3da48b94","38b07ec3a253734402130aa58d9302a7","2025-10-03 03:22:04.631867 UTC","2025-10-03 03:22:04.915629 UTC","failed",,"{""api_version"":""apiv4"",""state_3ds"":""no3ds"",""response_code"":null}"
"2737131","4830","2","8cbcc128f407b5bf018e6793e5826c4d955b5a663d69796f01bf32d3f88a8a7c","1069210ffc313b5ee214e0b901d2beb7","2025-10-03 03:24:09.669703 UTC","2025-10-03 03:24:14.795461 UTC","settled",,"{""api_version"":""apiv4"",""disable_tokenization_filter"":null,""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""urbo_ob_lt"",""user_ip"":null,""init_trans_created_at"":""2025-10-03T03:24:10.849Z"",""response_code"":""ACSC""}"
"2737312","4830","2","e168357c3b79cad258c20db9ad9fae30dfd020285b717e3c8b9f7b4878a4bcc9","a3216da5333949c6dceafd40036b0e81","2025-10-03 09:08:14.839723 UTC","2025-10-03 09:08:28.315239 UTC","settled","2","{""api_version"":""apiv4"",""payment_description"":""description for testing"",""disable_tokenization_filter"":null,""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""10.71.78.111"",""init_trans_created_at"":""2025-10-03T09:08:19.532Z"",""masked_cc_number_hash"":""asLlWs4wePqOOkRm9iLVlhU6sZdJXWCC8ftbNRdMIKs=:aws:5deb11d5"",""mcc"":""5399"",""mcc_description"":""Miscellaneous General Merchandise"",""provider_3ds"":""modirum"",""3ds_requested"":true,""3ds_prompted"":true,""3ds_result"":""3DS approved"",""state_3ds"":""3ds"",""eci"":""02"",""xid"":""NWE2NmMyZGU5YjIzM2M0NDI1NDQ="",""pares_status"":""Y"",""veres_result"":""Enrolled"",""3ds_liability_shift"":true,""3ds_protocol"":""3DS2.2.0"",""ds_trans_id"":""f7e3f874-f34f-4ab9-8395-0029939f9417"",""emv3ds_transaction_status"":""Authentication Verification Successful"",""emv3ds_status_reason"":""undefined"",""emv3ds_server_errorcode"":"""",""emv3ds_server_errordetail"":"""",""provider_errormessage"":""Y-status/Challenge authentication via ACS: https://3ds-acs.staging.modirum.com/mdpayacs/creq;token=61188471.1759482505.zR8vqT1Ou"",""emv3ds_authentication_type"":""Static"",""3ds_challenge_cancelation_indicator"":""undefined"",""cavv"":""xgQRoi8BAAAAAAAAAAAAAAAAAAA="",""response_code"":""000"",""cvc_result"":""M"",""authorisation_code"":""536123"",""issuer_decline"":false}"
"2737237","4837","2","9a85265110c01229c22b9dbe250168710656fd9354327fccec786fc907b67fa5","lhvXmonitorXstagingX1759480408","2025-10-03 08:33:30.027071 UTC","2025-10-03 08:33:30.504028 UTC","failed","2","{""api_version"":""apiv3"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""state_3ds"":""no3ds"",""monitoring_ok"":false,""response_code"":null,""authorisation_code"":null,""issuer_decline"":false,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":null,""init_trans_created_at"":""2025-10-03T08:33:30.096Z"",""sca_exemption"":""mit"",""masked_cc_number_hash"":""JwqKCnFRLQIO79iZpTo79tA1RtPSloHfRhlyv4dXIJg=:aws:5deb11d5"",""mcc"":""5399"",""mcc_description"":""Miscellaneous General Merchandise""}"
"2737084","4832","3","3af3af905bc74e203bd9b26335359f92aa1f57503f88768e77efb90d4efd0221","f7e143a580714ac7984944482a9b4724","2025-10-03 03:21:31.191328 UTC","2025-10-03 03:21:33.170569 UTC","settled","2","{""api_version"":""apiv3"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""state_3ds"":""no3ds"",""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":null,""init_trans_created_at"":""2025-10-03T03:21:31.244Z"",""sca_exemption"":""mit"",""masked_cc_number_hash"":""DZaCLg0Ize96XmP0nFUpu24q68GshLU5Q0E2QpNpQLc=:aws:5deb11d5"",""mcc"":""5999"",""mcc_description"":""Miscellaneous Specialty Retail"",""response_code"":""000"",""authorisation_code"":""209553"",""issuer_decline"":false}"
"2737112","4830","2","6a2bd426c8258d524d2fd51ae76a031ab211289107adb0e9dc5b75bc256d4d82","9c2d5c9a2a7ec5a13ea8e7d155d27603","2025-10-03 03:22:51.874244 UTC","2025-10-03 03:23:01.586547 UTC","settled","2",
"2737031","4830","2","87153e8971fd04a7b60506f445bc58afb0871ed75f9fc2586f06d34d22a23e0d","c460b820764595cf0984ed0089ddc8b2","2025-10-03 03:17:21.920519 UTC","2025-10-03 03:17:30.729301 UTC","settled",,"{""payment_description"":""description for testing"",""api_version"":""apiv4"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""revolut_ob"",""user_ip"":null,""init_trans_created_at"":""2025-10-03T03:17:30.156Z"",""response_code"":null}"
"2737363","4830","2","e628c0b29bd1b94cb7c629715064c17bd32a4fac0d72852930c824376ff888f4","cfe57145094aad6fa89c394848c6d5e8","2025-10-03 09:11:54.268107 UTC","2025-10-03 09:12:08.654995 UTC","refunded","2","{""api_version"":""apiv4"",""disable_tokenization_filter"":null,""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""10.71.78.111"",""init_trans_created_at"":""2025-10-03T09:11:57.521Z"",""masked_cc_number_hash"":""asLlWs4wePqOOkRm9iLVlhU6sZdJXWCC8ftbNRdMIKs=:aws:5deb11d5"",""mcc"":""5399"",""mcc_description"":""Miscellaneous General Merchandise"",""provider_3ds"":""modirum"",""3ds_requested"":true,""3ds_prompted"":true,""3ds_result"":""3DS approved"",""state_3ds"":""3ds"",""eci"":""02"",""xid"":""OGJhYzYxMTc0NmE5NmZmZjM4YTY="",""pares_status"":""Y"",""veres_result"":""Enrolled"",""3ds_liability_shift"":true,""3ds_protocol"":""3DS2.2.0"",""ds_trans_id"":""192f5346-141a-46aa-b688-2c05fb378049"",""emv3ds_transaction_status"":""Authentication Verification Successful"",""emv3ds_status_reason"":""undefined"",""emv3ds_server_errorcode"":"""",""emv3ds_server_errordetail"":"""",""provider_errormessage"":""Y-status/Challenge authentication via ACS: https://3ds-acs.staging.modirum.com/mdpayacs/creq;token=61189151.1759482722.XBKdteAsR"",""emv3ds_authentication_type"":""Static"",""3ds_challenge_cancelation_indicator"":""undefined"",""cavv"":""xgQRrkfZAAAAAAAAAAAAAAAAAAA="",""response_code"":""000"",""cvc_result"":""M"",""authorisation_code"":""536127"",""issuer_decline"":false,""refund_stan"":""061119""}"
"2737148","4832","3","c40ecc289457c2deca4ca24dc4f60370787a5e65cc5b27548cbc2f6c25182c92","da39a42d665baa245d9bdbf61f5b661e","2025-10-03 03:25:17.090927 UTC","2025-10-03 03:25:18.375601 UTC","initial",,"{""api_version"":""apiv4"",""disable_tokenization_filter"":null}"
"2737322","4830","2","e0128783828aa1ca1aeae04e10c3a6fb252d386b3660bbbed55d7d0ea3e606e5","3f97793da0d38c009e1dfb4349d30ad8","2025-10-03 09:08:58.499888 UTC","2025-10-03 09:09:10.834444 UTC","failed","2","{""api_version"":""apiv4"",""disable_tokenization_filter"":null,""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""10.71.78.111"",""init_trans_created_at"":""2025-10-03T09:09:02.687Z"",""masked_cc_number_hash"":""asLlWs4wePqOOkRm9iLVlhU6sZdJXWCC8ftbNRdMIKs=:aws:5deb11d5"",""mcc"":""5399"",""mcc_description"":""Miscellaneous General Merchandise"",""provider_3ds"":""modirum"",""3ds_requested"":true,""3ds_prompted"":true,""3ds_result"":""3DS approved"",""state_3ds"":""3ds"",""eci"":""02"",""xid"":""YTQ3ZWJkYjllZGNjOTg4Yjg3YzA="",""pares_status"":""Y"",""veres_result"":""Enrolled"",""3ds_liability_shift"":true,""3ds_protocol"":""3DS2.2.0"",""ds_trans_id"":""f22cea61-1a4a-4b74-bd4f-49bc828a9f76"",""emv3ds_transaction_status"":""Authentication Verification Successful"",""emv3ds_status_reason"":""undefined"",""emv3ds_server_errorcode"":"""",""emv3ds_server_errordetail"":"""",""provider_errormessage"":""Y-status/Challenge authentication via ACS: https://3ds-acs.staging.modirum.com/mdpayacs/creq;token=61188561.1759482548.j8FQQI-3A"",""emv3ds_authentication_type"":""Static"",""3ds_challenge_cancelation_indicator"":""undefined"",""cavv"":""xgQRVKh6AAAAAAAAAAAAAAAAAAA="",""response_code"":""102"",""cvc_result"":""N"",""authorisation_code"":""000000"",""issuer_decline"":true}"
