"id","created_at","updated_at","state","linkpay_reference","payment_details"
"999933","2025-10-04 21:05:39.631557 UTC","2025-10-04 21:05:46.341272 UTC","completed","G9ONxVSh9f","{""checkup_payment"":null,""payment_reference"":""cba1121a6a83c8d150ac5a68aecd67ae89123b02746bbf15d12648b8e5fe02be"",""transaction_reference"":""152d6db96f521e320d983e8b631808b06de0187d79684b843d6fa7a6a7a38a3e"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-04T21:05:46Z"",""cc_details"":{""cc_last_four_digits"":""0004"",""cc_year"":""2025"",""cc_month"":""12"",""cc_holder_name"":""Automated Testing"",""cc_token"":""115926d76ff217fd728df490"",""cc_type"":""master_card""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""732280""}"
"999920","2025-10-04 21:04:37.798425 UTC","2025-10-04 21:05:03.155208 UTC","completed","kVcoyRQrje","{""checkup_payment"":null,""payment_reference"":""8f9796b15b106d917769c28595149e4c6237573009ad4dc15f3b19abb3424aa9"",""transaction_reference"":null,""payment_state"":""waiting_for_sca"",""transaction_result"":null,""transaction_time"":""2025-10-04T21:04:42+00:00"",""cc_details"":null,""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null}"
"1000016","2025-10-04 21:11:51.671350 UTC","2025-10-04 21:12:02.179349 UTC","completed","smLkmTO5Us","{""checkup_payment"":null,""payment_reference"":""59b0bfe2ed1e1b03e60a744a5a9a84aebcacd0cb4e64d0173e00fccc955f5749"",""transaction_reference"":""e06479d29e02836d81aec8bafce60e7aa5c939e3d1e15623fb6f5dcfcea0e835"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-04T21:12:02Z"",""cc_details"":{""cc_last_four_digits"":""7541"",""cc_year"":""2027"",""cc_month"":""8"",""cc_holder_name"":""Automated Testing"",""cc_token"":""78de1e09ad7fe6689f153107"",""cc_type"":""master_card"",""cc_issuer"":""AS LHV Pank"",""cc_product"":""DEBIT STANDARD"",""cc_funding_source"":""Debit"",""cc_issuer_country"":""EE""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""536823""}"
"999871","2025-10-04 09:15:53.718781 UTC","2025-10-04 09:15:56.876053 UTC","waiting_for_sca","AQPnev4pQj","{""payment_reference"":""a08e78729850275d2b3cbacde5fc4ec6fb4f73e4dc1f7665730a23f66e006cb1""}"
"1000014","2025-10-04 21:11:35.895438 UTC","2025-10-04 21:11:38.480748 UTC","waiting_for_sca","n9aDAufRoX","{""payment_reference"":""9dbe8c7789deb5f7be0b166bfd0940704c775cb5617d5201e3678b97554ec1ca"",""veres_url"":null,""pareq"":null,""checkup_payment"":null,""arrangement"":false,""token_agreement"":null,""provider_3ds_name"":""modirum"",""order_reference"":""1e3a8b75e72e4de081b52bcb7823f496"",""disable_tokenization_filter"":null,""email"":null,""phone_country_code"":null,""phone_number"":null}"
"999999","2025-10-04 21:10:38.058211 UTC","2025-10-04 21:10:45.881234 UTC","completed","2W6VKV3EFF","{""checkup_payment"":null,""payment_reference"":""dbee2968e6d06654d348fef88a684ae896fb3b94d155e54701343c971ce8ba2a"",""transaction_reference"":""7b4132caf7d32db6e7170a48f4d3567c5b18c9f65ca6d008d003913c1622fa32"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-04T21:10:45Z"",""cc_details"":{""cc_last_four_digits"":""4468"",""cc_year"":""2027"",""cc_month"":""6"",""cc_holder_name"":""Automated Testing"",""cc_type"":""master_card"",""cc_issuer"":""Swedbank AS"",""cc_product"":""DEBIT STANDARD"",""cc_funding_source"":""Debit"",""cc_issuer_country"":""EE""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""947098""}"
"999740","2025-10-04 09:06:13.207413 UTC","2025-10-04 09:06:20.029595 UTC","completed","YrqXRWJVK2","{""checkup_payment"":null,""payment_reference"":""7510239a03881c28257f662db24ed1e9eb7a10d48d9798f9a9eef3207a7ca67f"",""transaction_reference"":""c9502b292b81149c159b531fdb0eaf9e0f89aaa70c1c66388b3b37f6e7af2d49"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-04T09:06:19Z"",""cc_details"":{""cc_last_four_digits"":""0004"",""cc_year"":""2025"",""cc_month"":""12"",""cc_holder_name"":""Automated Testing"",""cc_token"":""115926d76ff217fd728df490"",""cc_type"":""master_card""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""148719""}"
"1000053","2025-10-04 21:14:07.037967 UTC","2025-10-04 21:14:15.259934 UTC","completed","8Q2nLpzvRc","{""checkup_payment"":null,""payment_reference"":""4f41e9a72a84de19b4b25e6a337775ad6f2e1357e853ec17d5bf0fbcd6f9045a"",""transaction_reference"":""860f89be7c20168f1c139952dc333bc05b0fa29be8c06c7783e982edbcb50936"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-04T21:14:15Z"",""cc_details"":{""cc_last_four_digits"":""4468"",""cc_year"":""2027"",""cc_month"":""6"",""cc_holder_name"":""Automated Testing"",""cc_type"":""master_card"",""cc_issuer"":""Swedbank AS"",""cc_product"":""DEBIT STANDARD"",""cc_funding_source"":""Debit"",""cc_issuer_country"":""EE""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""947108""}"
"999600","2025-10-04 03:19:42.273536 UTC","2025-10-04 03:19:51.131039 UTC","completed","MwUqY2v39y","{""checkup_payment"":null,""payment_reference"":""2400dde4e656dde65a0f0efb884259d4c95fc2b3ea79405a19bfb50850083106"",""transaction_reference"":""aeea15b579c8b1122f4c5a069f6c585bd4cce80fd8ac761473218cb4eec5c04f"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-04T03:19:50Z"",""cc_details"":{""cc_last_four_digits"":""0004"",""cc_year"":""2025"",""cc_month"":""12"",""cc_holder_name"":""Automated Testing"",""cc_type"":""master_card""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""609630""}"
"999729","2025-10-04 09:05:15.541366 UTC","2025-10-04 09:05:23.756201 UTC","failed","sESEWNUnIz","{""checkup_payment"":null,""payment_reference"":null,""transaction_reference"":null,""payment_state"":null,""transaction_result"":null,""transaction_time"":null,""cc_details"":null,""veres_url"":null,""pareq"":null,""processing_errors"":[{""code"":3999,""message"":""Unknown Processor Response Code""}],""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":{""message"":""Unknown Processor Response Code"",""code"":3999,""details"":[""[]""]},""error_code"":3999}"
"999499","2025-10-04 03:12:34.047445 UTC","2025-10-04 03:12:36.278478 UTC","waiting_for_access_token","wu88EdIf","{""frequency"":""Monthly"",""start_date"":""2025-10-07"",""end_date"":""2026-01-02""}"
"999557","2025-10-04 03:16:16.350044 UTC","2025-10-04 03:16:30.372543 UTC","completed","MPt6BZKWVs","{""payment_reference"":""195f40edd64dc893f96a0a97fe4330446dcdd5d7877845b0d8579c7eab5b88fd"",""veres_url"":null,""pareq"":null,""checkup_payment"":null,""arrangement"":null,""token_agreement"":""unscheduled"",""provider_3ds_name"":""modirum"",""order_reference"":""a681c59978b0f95b4b495f0c646fc086"",""api_version"":""apiv4"",""token_consent_agreed"":false,""payment_state"":""settled""}"
"999559","2025-10-04 03:16:24.018526 UTC","2025-10-04 03:16:40.879523 UTC","completed","ScPLDJpa","{""frequency"":""Monthly"",""start_date"":""2025-10-07"",""end_date"":""2026-01-02"",""payment_state"":""signed""}"
"999656","2025-10-04 03:23:25.237840 UTC","2025-10-04 03:23:34.592137 UTC","completed","6N8bGeAnXR","{""checkup_payment"":null,""payment_reference"":""18139695e5a9c0323c2c0ca603fcb4b410db610beb9c67ddf2458699c7657480"",""transaction_reference"":""652db14292cf24a4d82373c5df81a95e6313901f3984424f33fb1a239362735f"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-04T03:23:34Z"",""cc_details"":{""cc_last_four_digits"":""4468"",""cc_year"":""2027"",""cc_month"":""6"",""cc_holder_name"":""Automated Testing"",""cc_type"":""master_card"",""cc_issuer"":""Swedbank AS"",""cc_product"":""DEBIT STANDARD"",""cc_funding_source"":""Debit"",""cc_issuer_country"":""EE""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""947061""}"
"999661","2025-10-04 03:23:42.099681 UTC","2025-10-04 03:24:18.164025 UTC","failed","Ro8CWAYSzJ","{""checkup_payment"":null,""payment_reference"":""56d43f6530154ba49b0a7d9e7518cd098741061fe7dd1dca88f53a6fc5646ea0"",""transaction_reference"":""4c99bbd09ecb5075041ec68da83a1e672746d6520bfdc8b0cf21ffa82ca739d9"",""payment_state"":""failed"",""transaction_result"":""failed"",""transaction_time"":""2025-10-04T03:24:17Z"",""cc_details"":{""cc_last_four_digits"":""0104"",""cc_year"":""2031"",""cc_month"":""12"",""cc_holder_name"":""Automated Testing"",""cc_type"":""visa"",""cc_product"":""Visa Traditional"",""cc_funding_source"":""Unknown"",""cc_issuer_country"":""BE""},""veres_url"":null,""pareq"":null,""processing_errors"":[{""code"":3045,""message"":""Card issuer or network not available; Card issuer timed out""}],""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""000000""}"
"999780","2025-10-04 09:09:38.141681 UTC","2025-10-04 09:09:47.222643 UTC","failed","sKPdmHXGxm","{""checkup_payment"":null,""payment_reference"":""1f101c0828aa2daa58afcfea149eb858a1be8989efac40d582f0923007dfa10b"",""transaction_reference"":""10c1402055906bb1ac3d0a456013fa380b64d59d351ad64bf73a4ef56c3070ef"",""payment_state"":""failed"",""transaction_result"":""failed"",""transaction_time"":""2025-10-04T09:09:47Z"",""cc_details"":{""cc_last_four_digits"":""0004"",""cc_year"":""2025"",""cc_month"":""12"",""cc_holder_name"":""Automated Testing"",""cc_type"":""master_card""},""veres_url"":null,""pareq"":null,""processing_errors"":[{""code"":4018,""message"":""3D secure cancelled by issuing bank""}],""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null}"
"999927","2025-10-04 21:05:06.288742 UTC","2025-10-04 21:05:38.190782 UTC","completed","YgLm26Gj","{""frequency"":""Monthly"",""start_date"":""2025-10-07"",""end_date"":""2026-01-02"",""payment_state"":""signed""}"
