"id","acquirer_id","name","state","created_at","updated_at"
"4850","5","CORAL TRAVEL LITHUANIA UAB","active","2024-02-27 09:56:48.887836 UTC","2024-02-27 09:58:05.758212 UTC"
"161","1","INTO THE BEARD OÜ","active","2020-05-19 12:36:54.792462 UTC","2021-12-29 10:00:24.738594 UTC"
"2","2","Kukk ja Konn OU","suspended","2014-05-29 08:27:50.686361 UTC","2021-12-29 10:00:26.849755 UTC"
"826","8","King-Sporer Co No 540","active","2022-11-15 22:09:09.271807 UTC","2022-11-15 22:09:09.271807 UTC"
"4862","2","SvHu Bank","active","2024-07-01 11:38:22.062732 UTC","2024-07-01 11:38:22.082291 UTC"
"5227","1","Külli SEB EE 2","active","2025-06-25 13:10:26.032853 UTC","2025-06-25 13:10:26.067732 UTC"
"5194","1","Erik C2P","active","2025-06-02 09:29:08.504161 UTC","2025-06-02 09:29:08.534812 UTC"
"98","1","fraud test","active","2018-09-19 14:18:35.395615 UTC","2021-11-24 14:06:43.145313 UTC"
"981","7","Senger, Davis and Gusikowski Co No 695","active","2022-11-15 22:09:35.774425 UTC","2022-11-15 22:09:35.774425 UTC"
"218","4","Riho 21 SEBLV Staging","active","2021-06-03 08:57:50.827594 UTC","2021-12-29 10:00:23.797624 UTC"
"270","2","ZLICK LTD","suspended","2022-04-12 11:31:07.816049 UTC","2022-04-13 07:29:38.074611 UTC"
"822","7","Olson Group Co No 536","active","2022-11-15 22:09:08.562167 UTC","2022-11-15 22:09:08.562167 UTC"
"95","1","Kaup SEB","active","2018-05-21 10:22:46.118673 UTC","2021-12-31 09:57:22.966458 UTC"
"180","3","4FAMILY OÜ","suspended","2020-09-30 11:56:12.927333 UTC","2022-03-24 07:37:35.002547 UTC"
"163","2","ORDLY OÜ","active","2020-05-20 05:50:06.518891 UTC","2021-12-29 10:00:27.036666 UTC"
"271","2","OÜ Toiduvabadus","active","2022-04-12 12:00:37.677066 UTC","2022-04-12 12:33:12.498915 UTC"
"269","2","FINANCE PROFESSIONAL","active","2022-04-12 10:56:20.931673 UTC","2022-04-13 07:31:20.266512 UTC"
"181","6","OMNIVA SIA","active","2020-09-30 12:38:49.157545 UTC","2021-12-29 10:00:28.825879 UTC"
"97","1","Kaupmees Juunis","active","2018-06-19 11:19:07.233234 UTC","2021-12-29 10:00:20.938946 UTC"
"827","8","Boehm Group Co No 541","active","2022-11-15 22:09:09.437599 UTC","2022-11-15 22:09:09.437599 UTC"
"234","2","Bondora AS","active","2021-09-16 09:21:18.825837 UTC","2021-12-29 10:00:24.197777 UTC"
"6","2","Merchant's Nightmare LTD","suspended","2014-06-10 13:12:07.060305 UTC","2021-12-29 10:00:21.653354 UTC"
"392","3","Witting Group Co No 106","active","2022-11-15 22:07:52.435961 UTC","2022-11-15 22:07:52.435961 UTC"
"284","5","1203 LHV test","active","2022-11-10 02:23:31.668903 UTC","2022-11-10 02:23:31.683161 UTC"
"119","1","Merchant","active","2019-09-07 09:26:25.963648 UTC","2021-12-31 07:33:32.094283 UTC"
"42","2","Test 20160406","suspended","2016-04-06 13:03:48.243910 UTC","2021-12-31 09:57:26.245642 UTC"
"61","2","Test SvHu Shop","active","2017-11-16 07:16:04.018979 UTC","2024-06-07 11:45:13.235103 UTC"
"109","2","New Merchant 21.06.2019","active","2019-06-21 09:06:01.331138 UTC","2021-12-29 10:00:27.429921 UTC"
"267","2","Tromox OÜ","active","2022-04-12 09:55:57.379796 UTC","2022-04-12 09:57:04.150425 UTC"
"279","2","Helentest","active","2022-07-26 07:07:10.581502 UTC","2022-07-26 07:08:46.311166 UTC"
"232","2","Reifen Estonia OÜ","active","2021-09-15 10:35:24.554719 UTC","2021-12-29 10:00:23.926702 UTC"
"100","2","Fraud rule set test 2134","active","2019-01-17 09:29:21.059781 UTC","2021-12-29 10:00:20.122943 UTC"
"160","1","BBPL SALES OÜ","active","2020-05-19 11:14:36.715678 UTC","2021-12-29 10:00:23.233126 UTC"
"825","6","Lindgren-Mosciski Co No 539","active","2022-11-15 22:09:09.076155 UTC","2022-11-15 22:09:09.076155 UTC"
"13","2","Fivefold Rabbit","suspended","2014-11-28 14:53:04.338144 UTC","2021-12-29 10:00:21.729099 UTC"
"174","2","Cider Mill OÜ","active","2020-09-29 08:48:25.982761 UTC","2021-12-29 10:00:27.360190 UTC"
"833","7","Yost Group Co No 547","active","2022-11-15 22:09:10.438575 UTC","2022-11-15 22:09:10.438575 UTC"
"917","2","Cormier Group Co No 631","active","2022-11-15 22:09:24.673634 UTC","2022-11-15 22:09:24.673634 UTC"
"839","5","Kuvalis, Schuster and Mills Co No 553","active","2022-11-15 22:09:11.435622 UTC","2022-11-15 22:09:11.435622 UTC"
"921","8","Kemmer and Sons Co No 635","active","2022-11-15 22:09:25.375226 UTC","2022-11-15 22:09:25.375226 UTC"
"958","1","Carroll Inc Co No 672","active","2022-11-15 22:09:31.806670 UTC","2022-11-15 22:09:31.806670 UTC"
"961","5","Adams Group Co No 675","active","2022-11-15 22:09:32.286014 UTC","2022-11-15 22:09:32.286014 UTC"
"298","4","Gleichner, Schoen and Terry Co No 12","active","2022-11-15 22:07:36.971265 UTC","2022-11-15 22:07:36.971265 UTC"
"212","5","Riho 8 Stanging SEB","active","2021-04-30 07:25:01.751100 UTC","2021-12-29 10:00:23.511745 UTC"
"4825","3","Swed Puhh test","active","2022-12-14 09:39:12.725586 UTC","2022-12-14 09:49:33.078281 UTC"
"16","2","Rongisõit","suspended","2015-02-12 14:05:11.371450 UTC","2021-12-29 10:00:21.807453 UTC"
"139","1","LUX CHARTER OÜ","active","2020-02-06 12:56:33.746372 UTC","2021-12-29 10:00:21.033028 UTC"
"144","2","eriktest","active","2020-02-20 12:47:49.045802 UTC","2024-05-15 07:27:13.556347 UTC"
"817","2","Hayes Group Co No 531","active","2022-11-15 22:09:07.664978 UTC","2022-11-15 22:09:07.664978 UTC"
"818","2","Carter and Sons Co No 532","active","2022-11-15 22:09:07.833161 UTC","2022-11-15 22:09:07.833161 UTC"
"140","1","HENNASERAI OSAÜHING","active","2020-02-10 07:27:24.716674 UTC","2021-12-29 10:00:26.626512 UTC"
"199","2","EstateGuru OÜ","active","2021-02-26 09:57:50.874004 UTC","2021-12-29 10:00:22.911109 UTC"
"156","1","LIIKLUSLAB EESTI OÜ","active","2020-05-07 13:05:42.959484 UTC","2021-12-29 10:00:29.170909 UTC"
"950","2","Thiel-Schmeler Co No 664","active","2022-11-15 22:09:30.263280 UTC","2022-11-15 22:09:30.263280 UTC"
"964","1","Deckow, Ziemann and Schmidt Co No 678","active","2022-11-15 22:09:32.779849 UTC","2022-11-15 22:09:32.779849 UTC"
"245","1","TestMerchantforOBrefund","active","2021-11-25 13:31:11.486085 UTC","2021-12-29 10:00:20.262032 UTC"
"68","2","A Good Company","active","2018-03-14 09:16:12.058470 UTC","2021-12-29 10:00:29.457460 UTC"
"257","2","OÜ T","suspended","2022-03-23 11:40:49.039919 UTC","2022-04-12 08:18:27.076040 UTC"
"253","2","Selver AS","active","2022-03-23 07:50:46.569156 UTC","2022-03-23 07:54:35.834941 UTC"
"177","4","SIA GRACILE","active","2020-09-30 09:18:03.571310 UTC","2021-12-29 10:00:28.945461 UTC"
"985","9","Mills LLC Co No 699","active","2022-11-15 22:09:36.463481 UTC","2022-11-15 22:09:36.463481 UTC"
"849","5","Boyle and Sons Co No 563","active","2022-11-15 22:09:13.116564 UTC","2022-11-15 22:09:13.116564 UTC"
"295","8","Bahringer-Roberts Co No 9","active","2022-11-15 22:07:36.490124 UTC","2022-11-15 22:07:36.490124 UTC"
"202","4","HAPPY HOME DIY SIA","active","2021-03-02 07:49:11.063752 UTC","2021-12-29 10:00:22.839332 UTC"
"268","2","Sparkling Group OÜ","active","2022-04-12 10:17:56.609343 UTC","2022-04-13 08:36:16.090419 UTC"
"48","2","test Okt2","active","2016-10-25 08:11:46.132306 UTC","2021-06-03 10:51:14.698204 UTC"
"191","2","Meratiks OÜ","active","2021-01-06 12:00:58.688808 UTC","2021-12-29 10:00:28.477582 UTC"
"829","8","Berge, Bahringer and Turner Co No 543","active","2022-11-15 22:09:09.765162 UTC","2022-11-15 22:09:09.765162 UTC"
"834","7","Larkin and Sons Co No 548","active","2022-11-15 22:09:10.606262 UTC","2022-11-15 22:09:10.606262 UTC"
"877","1","Schamberger-Reinger Co No 591","active","2022-11-15 22:09:17.892048 UTC","2022-11-15 22:09:17.892048 UTC"
"918","6","Schuster-Rosenbaum Co No 632","active","2022-11-15 22:09:24.859494 UTC","2022-11-15 22:09:24.859494 UTC"
"929","9","Hane-Gleichner Co No 643","active","2022-11-15 22:09:26.664693 UTC","2022-11-15 22:09:26.664693 UTC"
"942","3","Lang-Nolan Co No 656","active","2022-11-15 22:09:28.759935 UTC","2022-11-15 22:09:28.759935 UTC"
"951","9","Douglas, Bruen and Zieme Co No 665","active","2022-11-15 22:09:30.471753 UTC","2022-11-15 22:09:30.471753 UTC"
"276","3","SWEDBANK EE Külli Test","active","2022-06-02 12:59:29.731906 UTC","2025-08-15 07:18:40.326658 UTC"
"954","5","Graham, Jerde and Gerlach Co No 668","active","2022-11-15 22:09:31.117240 UTC","2022-11-15 22:09:31.117240 UTC"
"974","4","Parisian LLC Co No 688","active","2022-11-15 22:09:34.482923 UTC","2022-11-15 22:09:34.482923 UTC"
"976","8","Upton, Okuneva and Powlowski Co No 690","active","2022-11-15 22:09:34.834847 UTC","2022-11-15 22:09:34.834847 UTC"
"980","7","Renner and Sons Co No 694","active","2022-11-15 22:09:35.600788 UTC","2022-11-15 22:09:35.600788 UTC"
"288","9","Zulauf, Kuhn and Shanahan Co No 2","active","2022-11-15 22:07:35.272497 UTC","2022-11-15 22:07:35.272497 UTC"
"47","2","test okt","suspended","2016-09-29 12:17:39.950848 UTC","2021-06-03 10:51:14.652585 UTC"
"305","6","Auer-Boyle Co No 19","active","2022-11-15 22:07:38.084975 UTC","2022-11-15 22:07:38.084975 UTC"
"83","2","Kaupmees 2","active","2018-04-13 11:52:52.507747 UTC","2021-12-31 09:57:24.671389 UTC"
