"id","created_at","updated_at","acquirer_id","name","state"
"822","2022-11-15 22:09:08.562167 UTC","2022-11-15 22:09:08.562167 UTC","7","Olson Group Co No 536","active"
"2","2014-05-29 08:27:50.686361 UTC","2021-12-29 10:00:26.849755 UTC","2","Kukk ja Konn OU","suspended"
"827","2022-11-15 22:09:09.437599 UTC","2022-11-15 22:09:09.437599 UTC","8","Boehm Group Co No 541","active"
"234","2021-09-16 09:21:18.825837 UTC","2021-12-29 10:00:24.197777 UTC","2","Bondora AS","active"
"825","2022-11-15 22:09:09.076155 UTC","2022-11-15 22:09:09.076155 UTC","6","Lindgren-Mosciski Co No 539","active"
"13","2014-11-28 14:53:04.338144 UTC","2021-12-29 10:00:21.729099 UTC","2","Fivefold Rabbit","suspended"
"199","2021-02-26 09:57:50.874004 UTC","2021-12-29 10:00:22.911109 UTC","2","EstateGuru OÜ","active"
"156","2020-05-07 13:05:42.959484 UTC","2021-12-29 10:00:29.170909 UTC","1","LIIKLUSLAB EESTI OÜ","active"
"950","2022-11-15 22:09:30.263280 UTC","2022-11-15 22:09:30.263280 UTC","2","Thiel-Schmeler Co No 664","active"
"964","2022-11-15 22:09:32.779849 UTC","2022-11-15 22:09:32.779849 UTC","1","Deckow, Ziemann and Schmidt Co No 678","active"
"202","2021-03-02 07:49:11.063752 UTC","2021-12-29 10:00:22.839332 UTC","4","HAPPY HOME DIY SIA","active"
"268","2022-04-12 10:17:56.609343 UTC","2022-04-13 08:36:16.090419 UTC","2","Sparkling Group OÜ","active"
"48","2016-10-25 08:11:46.132306 UTC","2021-06-03 10:51:14.698204 UTC","2","test Okt2","active"
"191","2021-01-06 12:00:58.688808 UTC","2021-12-29 10:00:28.477582 UTC","2","Meratiks OÜ","active"
"289","2022-11-15 22:07:35.440420 UTC","2022-11-15 22:07:35.440420 UTC","8","Bailey, Koch and Pacocha Co No 3","active"
"85","2018-04-27 12:26:13.890701 UTC","2021-06-03 10:51:18.783715 UTC","1","SEB TEST N","active"
"315","2022-11-15 22:07:39.724627 UTC","2022-11-15 22:07:39.724627 UTC","4","Osinski-Cummerata Co No 29","active"
"1000","2022-11-15 22:09:38.892104 UTC","2022-11-15 22:09:38.892104 UTC","9","Bartoletti, Effertz and Stokes Co No 714","active"
"52","2017-05-04 10:23:28.859807 UTC","2021-12-29 10:00:26.201411 UTC","2","Test lauri","active"
"575","2022-11-15 22:08:24.522735 UTC","2022-11-15 22:08:24.522735 UTC","1","Grady, Cummerata and Kozey Co No 289","active"
"5","2014-06-10 12:57:31.028324 UTC","2021-12-31 09:57:26.908355 UTC","2","Shark won Laser","suspended"
"32","2016-02-09 15:12:45.111855 UTC","2021-12-31 09:57:26.948500 UTC","2","test001","suspended"
"925","2022-11-15 22:09:26.013783 UTC","2022-11-15 22:09:26.013783 UTC","7","Kirlin, O'Hara and Thompson Co No 639","active"
"930","2022-11-15 22:09:26.822041 UTC","2022-11-15 22:09:26.822041 UTC","8","Bayer-Feil Co No 644","active"
"931","2022-11-15 22:09:26.980014 UTC","2022-11-15 22:09:26.980014 UTC","3","Emmerich, Daniel and Pagac Co No 645","active"
"946","2022-11-15 22:09:29.405080 UTC","2022-11-15 22:09:29.405080 UTC","3","Boyer, Murphy and Heller Co No 660","active"
"153","2020-03-26 11:40:02.298947 UTC","2021-12-29 10:00:21.164507 UTC","2","SvHu Store","active"
"983","2022-11-15 22:09:36.122871 UTC","2022-11-15 22:09:36.122871 UTC","2","Lynch, Howell and Cronin Co No 697","active"
"36","2016-03-10 06:09:31.988197 UTC","2021-12-29 10:00:21.964385 UTC","2","FraudCheckThresholdTest","suspended"
"368","2022-11-15 22:07:48.604811 UTC","2022-11-15 22:07:48.604811 UTC","3","Waelchi and Sons Co No 82","active"
"651","2022-11-15 22:08:37.339503 UTC","2022-11-15 22:08:37.339503 UTC","4","Braun-Kohler Co No 365","active"
"661","2022-11-15 22:08:38.952477 UTC","2022-11-15 22:08:38.952477 UTC","5","Swift, Osinski and Smitham Co No 375","active"
"684","2022-11-15 22:08:42.847303 UTC","2022-11-15 22:08:42.847303 UTC","9","Collier-Tremblay Co No 398","active"
"108","2019-06-21 08:57:39.950884 UTC","2021-12-29 10:00:20.357528 UTC","2","New shop","active"
"167","2020-07-03 09:59:50.495761 UTC","2021-12-29 10:00:29.240891 UTC","2","Modirum Test","active"
"1105","2022-11-15 22:09:56.684525 UTC","2022-11-15 22:09:56.684525 UTC","4","Ondricka, Kerluke and O'Hara Co No 819","active"
"1115","2022-11-15 22:09:58.321694 UTC","2022-11-15 22:09:58.321694 UTC","4","Nitzsche-Lockman Co No 829","active"
"1168","2022-11-15 22:10:09.989235 UTC","2022-11-15 22:10:09.989235 UTC","9","Christiansen-Grady Co No 882","active"
"1172","2022-11-15 22:10:10.698789 UTC","2022-11-15 22:10:10.698789 UTC","5","Nitzsche, Hamill and Mosciski Co No 886","active"
"1211","2022-11-15 22:10:17.304825 UTC","2022-11-15 22:10:17.304825 UTC","2","Schmeler, Kreiger and McClure Co No 925","active"
"1265","2022-11-15 22:10:26.047307 UTC","2022-11-15 22:10:26.047307 UTC","3","Harber Group Co No 979","active"
"1280","2022-11-15 22:10:28.432127 UTC","2022-11-15 22:10:28.432127 UTC","4","Blanda and Sons Co No 994","active"
"1344","2022-11-15 22:10:39.514790 UTC","2022-11-15 22:10:39.514790 UTC","2","Borer-Smitham Co No 1058","active"
"1363","2022-11-15 22:10:42.746543 UTC","2022-11-15 22:10:42.746543 UTC","8","Stoltenberg, Pollich and Emmerich Co No 1077","active"
"1375","2022-11-15 22:10:44.640360 UTC","2022-11-15 22:10:44.640360 UTC","7","Hessel, Roberts and Leuschke Co No 1089","active"
"1400","2022-11-15 22:10:49.245342 UTC","2022-11-15 22:10:49.245342 UTC","2","Boyle, White and Bogisich Co No 1114","active"
"862","2022-11-15 22:09:15.430022 UTC","2022-11-15 22:09:15.430022 UTC","4","Hamill Inc Co No 576","active"
"377","2022-11-15 22:07:50.035703 UTC","2022-11-15 22:07:50.035703 UTC","3","Runolfsson-Gerhold Co No 91","active"
"378","2022-11-15 22:07:50.207543 UTC","2022-11-15 22:07:50.207543 UTC","4","Herman, Swaniawski and Johnston Co No 92","active"
"89","2018-05-09 06:39:31.196808 UTC","2021-12-29 10:00:22.441371 UTC","2","Uus LHV kaupmees","active"
"428","2022-11-15 22:07:58.257936 UTC","2022-11-15 22:07:58.257936 UTC","3","Fisher Inc Co No 142","active"
"251","2022-02-25 08:12:53.307301 UTC","2022-02-25 08:13:42.524795 UTC","4","Lia testmerchant SEB LV","active"
"463","2022-11-15 22:08:05.983336 UTC","2022-11-15 22:08:05.983336 UTC","7","Baumbach-Becker Co No 177","active"
"460","2022-11-15 22:08:05.483368 UTC","2022-11-15 22:08:05.483368 UTC","9","Kovacek, Koch and Schaden Co No 174","active"
"464","2022-11-15 22:08:06.238355 UTC","2022-11-15 22:08:06.238355 UTC","5","Satterfield and Sons Co No 178","active"
"469","2022-11-15 22:08:07.104190 UTC","2022-11-15 22:08:07.104190 UTC","5","Schaefer, O'Kon and Boyer Co No 183","active"
"4864","2024-10-15 11:01:04.544283 UTC","2024-10-15 11:17:19.065189 UTC","2","Keldi TestibLHVMakseid","active"
"4963","2024-11-22 10:37:57.252482 UTC","2024-11-22 10:37:57.289426 UTC","3","Aleks Swed EE test merchant","active"
"487","2022-11-15 22:08:10.164932 UTC","2022-11-15 22:08:10.164932 UTC","9","Ledner-Auer Co No 201","active"
"502","2022-11-15 22:08:12.579415 UTC","2022-11-15 22:08:12.579415 UTC","1","Tromp, Conroy and Leuschke Co No 216","active"
"503","2022-11-15 22:08:12.738369 UTC","2022-11-15 22:08:12.738369 UTC","6","Botsford-Nienow Co No 217","active"
"505","2022-11-15 22:08:13.055162 UTC","2022-11-15 22:08:13.055162 UTC","7","Swift and Sons Co No 219","active"
"511","2022-11-15 22:08:14.030220 UTC","2022-11-15 22:08:14.030220 UTC","6","Quitzon, Wilderman and Pfannerstill Co No 225","active"
"998","2022-11-15 22:09:38.558226 UTC","2022-11-15 22:09:38.558226 UTC","9","Kunde-Jones Co No 712","active"
"514","2022-11-15 22:08:14.498564 UTC","2022-11-15 22:08:14.498564 UTC","3","Mills, Flatley and Dietrich Co No 228","active"
"517","2022-11-15 22:08:15.131790 UTC","2022-11-15 22:08:15.131790 UTC","9","Kuvalis, Rice and Weissnat Co No 231","active"
"525","2022-11-15 22:08:16.447541 UTC","2022-11-15 22:08:16.447541 UTC","9","Hammes-Hegmann Co No 239","active"
"534","2022-11-15 22:08:17.816044 UTC","2022-11-15 22:08:17.816044 UTC","7","Howe-Friesen Co No 248","active"
"535","2022-11-15 22:08:17.974786 UTC","2022-11-15 22:08:17.974786 UTC","2","Purdy-Lindgren Co No 249","active"
"538","2022-11-15 22:08:18.585690 UTC","2022-11-15 22:08:18.585690 UTC","5","Reichert Group Co No 252","active"
"564","2022-11-15 22:08:22.722589 UTC","2022-11-15 22:08:22.722589 UTC","7","Fay and Sons Co No 278","active"
"596","2022-11-15 22:08:28.019468 UTC","2022-11-15 22:08:28.019468 UTC","2","Tromp, Nienow and Tromp Co No 310","active"
"900","2022-11-15 22:09:21.850140 UTC","2022-11-15 22:09:21.850140 UTC","3","Thiel, Sawayn and Wilkinson Co No 614","active"
"615","2022-11-15 22:08:31.335744 UTC","2022-11-15 22:08:31.335744 UTC","7","Toy and Sons Co No 329","active"
"622","2022-11-15 22:08:32.473347 UTC","2022-11-15 22:08:32.473347 UTC","6","Bednar and Sons Co No 336","active"
"628","2022-11-15 22:08:33.482363 UTC","2022-11-15 22:08:33.482363 UTC","4","Rath, Von and Schowalter Co No 342","active"
"646","2022-11-15 22:08:36.537756 UTC","2022-11-15 22:08:36.537756 UTC","2","Watsica, Gerhold and Schiller Co No 360","active"
"674","2022-11-15 22:08:41.152655 UTC","2022-11-15 22:08:41.152655 UTC","8","Ondricka-Veum Co No 388","active"
"679","2022-11-15 22:08:41.961951 UTC","2022-11-15 22:08:41.961951 UTC","8","Graham, Schaden and Hartmann Co No 393","active"
"904","2022-11-15 22:09:22.498159 UTC","2022-11-15 22:09:22.498159 UTC","9","Mayert, Reynolds and Gislason Co No 618","active"
"663","2022-11-15 22:08:39.318136 UTC","2022-11-15 22:08:39.318136 UTC","3","Marquardt and Sons Co No 377","active"
"1007","2022-11-15 22:09:40.104914 UTC","2022-11-15 22:09:40.104914 UTC","2","White Group Co No 721","active"
"907","2022-11-15 22:09:22.985318 UTC","2022-11-15 22:09:22.985318 UTC","2","Maggio, Boehm and Bashirian Co No 621","active"
